All calculations,POM,SDOM,CHO,TOT,TIS,MIL,ING,MOL,PAU,RIO,ZHO,PASC,DCER,SRAF,SROS,QUEV,ESM,AGOY,MSFO,SOP,PAU_M,MAZ,EGUA,CCS,MLW,JAM,COL_G,AGOY-SFRA_G,MSFO_G,SOP_G,MOL_G,MAZ_G,EGUA_G,CCS_G,MLW_G,ESM_G
"Time in s","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Electrical Frequency in Hz","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u.","Speed in p.u."
6.031667,59.765974,59.766000,59.766090,59.766059,59.766023,59.766135,59.765955,59.766163,59.766575,59.766112,59.766153,59.766133,59.766136,59.765860,59.765999,59.766036,59.765430,59.765678,59.765836,59.767180,59.766706,59.766230,59.767263,59.765228,59.765801,59.765972,0.996074,0.996046,0.996077,0.996225,0.996121,0.996111,0.996235,0.996060,0.996083,0.996012
6.041667,59.765842,59.765867,59.765951,59.765925,59.765888,59.765994,59.765824,59.766021,59.766382,59.765974,59.766011,59.765993,59.765995,59.765734,59.765866,59.765898,59.765354,59.765649,59.765690,59.766996,59.766497,59.766083,59.767120,59.765132,59.765616,59.765840,0.996072,0.996057,0.996075,0.996217,0.996116,0.996108,0.996233,0.996060,0.996077,0.996018
6.051667,59.765715,59.765737,59.765816,59.765795,59.765757,59.765856,59.765698,59.765883,59.766191,59.765839,59.765873,59.765856,59.765857,59.765612,59.765738,59.765764,59.765284,59.765623,59.765550,59.766810,59.766288,59.765938,59.766976,59.765045,59.765436,59.765713,0.996069,0.996068,0.996072,0.996209,0.996110,0.996105,0.996230,0.996061,0.996071,0.996024
6.061667,59.765592,59.765612,59.765684,59.765669,59.765630,59.765722,59.765576,59.765747,59.766001,59.765708,59.765737,59.765723,59.765723,59.765496,59.765613,59.765634,59.765220,59.765599,59.765414,59.766621,59.766081,59.765797,59.766833,59.764966,59.765263,59.765590,0.996067,0.996079,0.996069,0.996199,0.996104,0.996103,0.996227,0.996062,0.996066,0.996030
6.071667,59.765472,59.765490,59.765556,59.765546,59.765507,59.765590,59.765458,59.765615,59.765813,59.765581,59.765605,59.765593,59.765593,59.765384,59.765493,59.765508,59.765160,59.765578,59.765282,59.766431,59.765875,59.765658,59.766688,59.764895,59.765097,59.765470,0.996065,0.996089,0.996067,0.996189,0.996099,0.996100,0.996223,0.996063,0.996061,0.996037
6.081667,59.765357,59.765373,59.765432,59.765426,59.765388,59.765462,59.765343,59.765486,59.765628,59.765456,59.765476,59.765466,59.765465,59.765276,59.765376,59.765385,59.765105,59.765557,59.765155,59.766239,59.765672,59.765522,59.766544,59.764831,59.764938,59.765355,0.996063,0.996100,0.996065,0.996179,0.996093,0.996097,0.996219,0.996064,0.996056,0.996044
6.091667,59.765245,59.765258,59.765311,59.765310,59.765272,59.765337,59.765233,59.765360,59.765445,59.765335,59.765350,59.765343,59.765341,59.765172,59.765262,59.765266,59.765053,59.765537,59.765033,59.766045,59.765471,59.765390,59.766398,59.764773,59.764785,59.765243,0.996061,0.996110,0.996063,0.996168,0.996088,0.996094,0.996215,0.996066,0.996052,0.996051
6.101667,59.765136,59.765147,59.765193,59.765196,59.765159,59.765216,59.765125,59.765236,59.765265,59.765217,59.765227,59.765222,59.765219,59.765072,59.765152,59.765151,59.765005,59.765516,59.764915,59.765851,59.765273,59.765259,59.766253,59.764721,59.764640,59.765134,0.996059,0.996120,0.996061,0.996157,0.996082,0.996091,0.996210,0.996068,0.996048,0.996058
6.111667,59.765030,59.765039,59.765078,59.765086,59.765049,59.765097,59.765021,59.765116,59.765089,59.765101,59.765107,59.765104,59.765101,59.764975,59.765045,59.765038,59.764961,59.765493,59.764801,59.765656,59.765079,59.765132,59.766106,59.764674,59.764502,59.765028,0.996057,0.996129,0.996059,0.996146,0.996077,0.996089,0.996205,0.996070,0.996044,0.996065
6.121667,59.764928,59.764935,59.764965,59.764978,59.764943,59.764980,59.764920,59.764998,59.764916,59.764988,59.764990,59.764989,59.764985,59.764882,59.764941,59.764929,59.764918,59.765469,59.764691,59.765461,59.764889,59.765008,59.765960,59.764631,59.764371,59.764926,0.996055,0.996137,0.996058,0.996134,0.996071,0.996086,0.996200,0.996072,0.996041,0.996072
6.131667,59.764828,59.764832,59.764856,59.764872,59.764839,59.764867,59.764822,59.764882,59.764748,59.764878,59.764875,59.764877,59.764872,59.764791,59.764839,59.764822,59.764878,59.765442,59.764584,59.765267,59.764703,59.764886,59.765813,59.764592,59.764247,59.764826,0.996053,0.996145,0.996057,0.996122,0.996066,0.996083,0.996194,0.996074,0.996038,0.996079
6.141667,59.764731,59.764733,59.764749,59.764769,59.764738,59.764756,59.764726,59.764770,59.764583,59.764770,59.764763,59.764767,59.764762,59.764703,59.764740,59.764719,59.764840,59.765411,59.764482,59.765074,59.764522,59.764767,59.765666,59.764556,59.764130,59.764728,0.996051,0.996152,0.996055,0.996110,0.996061,0.996080,0.996189,0.996076,0.996035,0.996086
6.151667,59.764636,59.764636,59.764645,59.764669,59.764639,59.764647,59.764633,59.764659,59.764424,59.764664,59.764653,59.764660,59.764654,59.764618,59.764643,59.764618,59.764802,59.765377,59.764383,59.764882,59.764346,59.764650,59.765518,59.764522,59.764020,59.764633,0.996049,0.996158,0.996054,0.996098,0.996056,0.996078,0.996182,0.996078,0.996033,0.996093
